alpha_mmd_loss,angular_mmd_loss,dmet_loss,epoch,grad_cos/alpha_mmd__rest,grad_cos/alpha_mmd__total,grad_cos/angular_mmd__rest,grad_cos/angular_mmd__total,grad_cos/dmet__rest,grad_cos/dmet__total,grad_cos/higgs_mass__rest,grad_cos/higgs_mass__total,grad_cos/huber__rest,grad_cos/huber__total,grad_cos/mass_mmd__rest,grad_cos/mass_mmd__total,grad_cos/w_mass_huber__rest,grad_cos/w_mass_huber__total,higgs_mass_loss,huber_loss,loss,loss_weight/alpha_mmd,loss_weight/angular_mmd,loss_weight/dmet,loss_weight/higgs_mass,loss_weight/huber,loss_weight/mass_mmd,loss_weight/w_mass_huber,mass_mmd_loss,step,test_alpha_mmd_loss,test_angular_mmd_loss,test_dmet_loss,test_higgs_mass_loss,test_huber_loss,test_loss,test_mass_mmd_loss,test_w_mass_huber_loss,val_alpha_mmd_loss,val_angular_mmd_loss,val_dmet_loss,val_higgs_mass_loss,val_huber_loss,val_loss,val_mass_mmd_loss,val_w_mass_huber_loss,w_mass_huber_loss
0.021509040147066116,0.002563536399975419,0.32606714963912964,19,-0.4627692699432373,-0.4570061266422272,0.3099900484085083,0.49999484419822693,0.10842691361904144,0.11031227558851242,0.33307650685310364,0.9794836640357971,0.03971982002258301,0.08189594000577927,0.11726853996515274,0.12211776524782181,0.3110341727733612,0.31242990493774414,0.17956416308879852,0.1355256885290146,28.82324981689453,,,,,,,,0.033192895352840424,50679,,,,,,,,,,,,,,,,,0.06462842971086502
,,,20,,,,,,,,,,,,,,,,,,10.0,2000.0,1.5,50.0,100.0,10.0,2.0,,53213,,,,,,,,,,,,,,,,,
,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,53213,,,,,,,,,0.02089608646929264,0.002684560604393482,0.3246549963951111,0.16378706693649292,0.13516734540462494,28.222917556762695,0.03209787607192993,0.06539025157690048,
0.021242506802082062,0.0025619103107601404,0.3255307674407959,20,-0.12393824011087418,-0.11329318583011627,0.08104290813207626,0.18461695313453674,0.2820225954055786,0.28579404950141907,0.31500205397605896,0.9926638603210449,0.5431961417198181,0.5836980938911438,0.026555299758911133,0.03516679257154465,0.35575762391090393,0.3576725423336029,0.17592968046665192,0.13524213433265686,28.605152130126953,,,,,,,,0.03316253796219826,53213,,,,,,,,,,,,,,,,,0.0641539916396141
,,,21,,,,,,,,,,,,,,,,,,10.0,2000.0,1.5,50.0,100.0,10.0,2.0,,55747,,,,,,,,,,,,,,,,,
,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,55747,,,,,,,,,0.021812090650200844,0.0026585999876260757,0.32818377017974854,0.1465383768081665,0.13452553749084473,27.2618350982666,0.032556500285863876,0.06461925804615021,
0.021629998460412025,0.0025643331464380026,0.3254500925540924,21,0.1968841850757599,0.2056635171175003,0.27598896622657776,0.3819671869277954,0.42170730233192444,0.4235827326774597,0.3912333846092224,0.9917197227478027,0.43086984753608704,0.4696583151817322,-0.035373587161302567,-0.027624038979411125,0.3005068898200989,0.30302536487579346,0.1721491813659668,0.135196715593338,28.42137336730957,,,,,,,,0.033190857619047165,55747,,,,,,,,,,,,,,,,,0.06459557265043259
,,,22,,,,,,,,,,,,,,,,,,10.0,2000.0,1.5,50.0,100.0,10.0,2.0,,58281,,,,,,,,,,,,,,,,,
,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,58281,,,,,,,,,0.020359285175800323,0.002606195630505681,0.3289313018321991,0.13409511744976044,0.13534611463546753,26.6014404296875,0.0321122407913208,0.0657801702618599,
0.020826006308197975,0.0025573885068297386,0.3260214030742645,22,-0.19272083044052124,-0.18275237083435059,-0.03531382232904434,0.45356300473213196,0.06558631360530853,0.06956730782985687,-0.049639806151390076,0.8775352835655212,-0.23895026743412018,-0.1816844642162323,0.31475576758384705,0.3214470148086548,-0.33258408308029175,-0.330763578414917,0.17053012549877167,0.13479681313037872,28.275646209716797,,,,,,,,0.032914116978645325,58281,,,,,,,,,,,,,,,,,0.06411091983318329
,,,23,,,,,,,,,,,,,,,,,,10.0,2000.0,1.5,50.0,100.0,10.0,2.0,,60815,,,,,,,,,,,,,,,,,
,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,60815,,,,,,,,,0.020264403894543648,0.0026533242780715227,0.32603466510772705,0.13448771834373474,0.1340404748916626,26.558610916137695,0.030105436220765114,0.06539621949195862,
0.02099398709833622,0.0025635322090238333,0.3259464204311371,23,-0.19832177460193634,-0.18748082220554352,-0.2596595287322998,-0.13298779726028442,0.35095086693763733,0.35397660732269287,-0.20889025926589966,0.9859523177146912,0.044504564255476,0.11639159917831421,0.2845494747161865,0.2922324538230896,0.25801360607147217,0.2604532241821289,0.16978567838668823,0.13473452627658844,28.2458553314209,,,,,,,,0.0328601710498333,60815,,,,,,,,,,,,,,,,,0.06428129971027374
,,,24,,,,,,,,,,,,,,,,,,10.0,2000.0,1.5,50.0,100.0,10.0,2.0,,63349,,,,,,,,,,,,,,,,,
,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,63349,,,,,,,,,0.0218970850110054,0.0026112182531505823,0.3267820477485657,0.13674959540367126,0.13417409360408783,26.63343048095703,0.03185467794537544,0.06420309841632843,
0.021036721765995026,0.0025548620615154505,0.32563647627830505,24,-0.12312714010477066,-0.10294374823570251,-0.5342532992362976,-0.44638606905937195,0.25412407517433167,0.25601625442504883,-0.45908626914024353,0.9927211999893188,0.10346848517656326,0.15673710405826569,-0.0997132956981659,-0.08495844900608063,0.20293955504894257,0.20435994863510132,0.1668446660041809,0.13445815443992615,28.052490234375,,,,,,,,0.03275444731116295,63349,,,,,,,,,,,,,,,,,0.0641631931066513
,,,25,,,,,,,,,,,,,,,,,,10.0,2000.0,1.5,50.0,100.0,10.0,2.0,,65883,,,,,,,,,,,,,,,,,
,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,65883,,,,,,,,,0.02097303979098797,0.0026571345515549183,0.3275824785232544,0.12471464276313782,0.1341100037097931,26.13044548034668,0.033882614225149155,0.06474602222442627,
